"","taxa","class","order","family","genus","species"
"1","c__Chromadorea.o__Desmodorida.f__Desmodorida.g__Desmodorida.__","Chromadorea","Desmodorida","Desmodorida","Desmodorida","Unknown"
"2","c__Chromadorea.__.__.__.__","Chromadorea","Unknown","Unknown","Unknown","Unknown"
"3","c__Chromadorea.o__Araeolaimida.f__Araeolaimida.g__Araeolaimida.__","Chromadorea","Araeolaimida","Araeolaimida","Araeolaimida","Unknown"
"4","c__Chromadorea.o__Desmodorida.f__Desmodorida.g__Desmodorida.s__Haliplectus_sp.","Chromadorea","Desmodorida","Desmodorida","Desmodorida","Haliplectus_sp"
"5","c__Chromadorea.o__Diplogasterida.f__Diplogasterida.g__Diplogasterida.s__Pristionchus_pacificus","Chromadorea","Diplogasterida","Diplogasterida","Diplogasterida","Pristionchus_pacificus"
"6","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.__","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Unknown"
"7","c__Enoplea.o__Enoplida.f__Enoplida.g__Enoplida.s__Rhabdolaimus_aquaticus","Enoplea","Enoplida","Enoplida","Enoplida","Rhabdolaimus_aquaticus"
"8","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__Aphelenchoides_fujianensis","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Aphelenchoides_fujianensis"
"9","c__Chromadorea.o__Desmodorida.f__Desmodorida.g__Desmodorida.s__Prodesmodora_sp.","Chromadorea","Desmodorida","Desmodorida","Desmodorida","Prodesmodora_sp"
"10","c__Enoplea.o__Triplonchida.f__Triplonchida.g__Triplonchida.s__Prismatolaimus_intermedius","Enoplea","Triplonchida","Triplonchida","Triplonchida","Prismatolaimus_intermedius"
"11","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Panagrolaimus_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Panagrolaimus_sp"
"12","c__Chromadorea.o__Monhysterida.f__Monhysterida.g__Monhysterida.__","Chromadorea","Monhysterida","Monhysterida","Monhysterida","Unknown"
"13","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.__","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Unknown"
"14","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__Aphelenchoides_bicaudatus","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Aphelenchoides_bicaudatus"
"15","c__Chromadorea.o__Monhysterida.f__Monhysterida.g__Monhysterida.s__metagenome","Chromadorea","Monhysterida","Monhysterida","Monhysterida","metagenome"
"16","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Teratocephalus_lirellus","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Teratocephalus_lirellus"
"17","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Halicephalobus_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Halicephalobus_sp"
"18","c__Enoplea.o__Dorylaimia.f__Dorylaimida.g__Dorylaimida.__","Enoplea","Dorylaimia","Dorylaimida","Dorylaimida","Unknown"
"19","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Panagrolaimus_detritophagus","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Panagrolaimus_detritophagus"
"20","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Diploscapter_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Diploscapter_sp"
"21","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Oscheius_tipulae","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Oscheius_tipulae"
"22","c__Enoplea.o__Triplonchida.f__Triplonchida.g__Triplonchida.s__Tripylina_sp.","Enoplea","Triplonchida","Triplonchida","Triplonchida","Tripylina_sp"
"23","c__Enoplea.o__Triplonchida.f__Triplonchida.g__Triplonchida.s__Trischistoma_pellucidum","Enoplea","Triplonchida","Triplonchida","Triplonchida","Trischistoma_pellucidum"
"24","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Cephalobus_cubaensis","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Cephalobus_cubaensis"
"25","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Protorhabditis_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Protorhabditis_sp"
"26","c__Enoplea.o__Dorylaimia.f__Mermithida.g__Mermithida.s__Mermis_nigrescens","Enoplea","Dorylaimia","Mermithida","Mermithida","Mermis_nigrescens"
"27","c__Chromadorea.o__Monhysterida.f__Monhysterida.g__Monhysterida.s__Geomonhystera_sp.","Chromadorea","Monhysterida","Monhysterida","Monhysterida","Geomonhystera_sp"
"28","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__Filenchus_misellus","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Filenchus_misellus"
"29","__.__.__.__.__","Unknown","Unknown","Unknown","Unknown","Unknown"
"30","c__Chromadorea.o__Araeolaimida.f__Araeolaimida.g__Araeolaimida.s__Tylocephalus_auriculatus","Chromadorea","Araeolaimida","Araeolaimida","Araeolaimida","Tylocephalus_auriculatus"
"31","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__metagenome","Chromadorea","Tylenchida","Tylenchida","Tylenchida","metagenome"
"32","c__Chromadorea.o__Diplogasterida.f__Diplogasterida.g__Diplogasterida.s__Levipalatum_texanum","Chromadorea","Diplogasterida","Diplogasterida","Diplogasterida","Levipalatum_texanum"
"33","c__Chromadorea.o__Chromadorida.f__Chromadorida.g__Chromadorida.__","Chromadorea","Chromadorida","Chromadorida","Chromadorida","Unknown"
"34","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__Aphelenchoides_ritzemabosi","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Aphelenchoides_ritzemabosi"
"35","c__Chromadorea.o__Oxyurida.f__Oxyurida.g__Oxyurida.__","Chromadorea","Oxyurida","Oxyurida","Oxyurida","Unknown"
"36","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Mesorhabditis_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Mesorhabditis_sp"
"37","c__Chromadorea.o__Monhysterida.f__Monhysterida.g__Monhysterida.s__Geomonhystera_villosa","Chromadorea","Monhysterida","Monhysterida","Monhysterida","Geomonhystera_villosa"
"38","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Halicephalobus_cf.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Halicephalobus_cf"
"39","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Bunonema_reticulatum","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Bunonema_reticulatum"
"40","c__Chromadorea.o__Monhysterida.f__Monhysterida.g__Monhysterida.s__uncultured_eukaryote","Chromadorea","Monhysterida","Monhysterida","Monhysterida","uncultured_eukaryote"
"41","c__Chromadorea.o__Chromadorea.f__Chromadorea.g__Chromadorea.s__Fescia_grossa","Chromadorea","Chromadorea","Chromadorea","Chromadorea","Fescia_grossa"
"42","c__Chromadorea.o__Diplogasterida.f__Diplogasterida.g__Diplogasterida.__","Chromadorea","Diplogasterida","Diplogasterida","Diplogasterida","Unknown"
"43","c__Chromadorea.o__Ascaridida.f__Ascaridida.g__Ascaridida.__","Chromadorea","Ascaridida","Ascaridida","Ascaridida","Unknown"
"44","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Heterorhabditis_indica","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Heterorhabditis_indica"
"45","c__Enoplea.o__Triplonchida.f__Triplonchida.g__Triplonchida.__","Enoplea","Triplonchida","Triplonchida","Triplonchida","Unknown"
"46","c__Chromadorea.o__Rhabditida.f__Rhabditida.g__Rhabditida.s__Myolaimus_sp.","Chromadorea","Rhabditida","Rhabditida","Rhabditida","Myolaimus_sp"
"47","c__Chromadorea.o__Tylenchida.f__Tylenchida.g__Tylenchida.s__Aphelenchoides_sp.","Chromadorea","Tylenchida","Tylenchida","Tylenchida","Aphelenchoides_sp"
