"","species","nematode_species","nematode_genus","nematode_family","nematode_order","nematode_class"
"akamatus","akamatus",2,2,2,2,1
"albemarlensis","albemarlensis",11,7,7,7,2
"amastroides","amastroides",6,5,5,5,2
"approximatus","approximatus",8,6,6,6,2
"basiplicatus","basiplicatus",9,3,3,3,1
"bauri","bauri",8,6,6,6,1
"calvus","calvus",1,1,1,1,1
"canaliferus","canaliferus",2,2,2,2,1
"cavagnaroi","cavagnaroi",11,6,6,6,2
"chemnitzioides","chemnitzioides",2,2,2,2,2
"darwini","darwini",10,5,5,5,2
"eos","eos",3,3,3,3,1
"eschariferus","eschariferus",16,7,7,7,3
"hirsutus","hirsutus",5,3,3,3,1
"invalidus","invalidus",2,2,2,2,1
"jacobinus","jacobinus",3,2,2,2,1
"lycodus","lycodus",1,1,1,1,1
"nuciformis","nuciformis",14,7,7,7,3
"nucula","nucula",4,2,2,2,1
"nux","nux",6,5,5,5,1
"ochsneri","ochsneri",6,5,5,5,1
"olla","olla",6,3,3,3,1
"pallidus","pallidus",2,2,2,2,1
"perrus 1","perrus 1",2,2,2,2,1
"perspectivus","perspectivus",4,2,2,2,1
"pinzonensis","pinzonensis",8,5,5,5,1
"pinzonopsis","pinzonopsis",10,5,5,5,2
"rabidensis","rabidensis",3,2,2,2,1
"reibischi","reibischi",6,3,3,3,1
"rugiferus","rugiferus",2,2,2,2,1
"rugulosus","rugulosus",5,4,4,4,1
"sculpturatus","sculpturatus",5,4,4,4,2
"simrothi","simrothi",3,2,2,2,2
"snodgrassi","snodgrassi",2,2,2,2,2
"sp. nov. Darwin 1","sp. nov. Darwin 1",2,2,2,2,1
"sp. nov. Pinta 2","sp. nov. Pinta 2",10,7,7,7,1
"sp. nov. Volcan Wolf 3","sp. nov. Volcan Wolf 3",15,7,7,7,2
"sp. nov. pinzon 1","sp. nov. pinzon 1",2,2,2,2,1
"sp_nov_CA","sp_nov_CA",3,3,3,3,1
"tanneri","tanneri",7,4,4,4,1
"tortuganus","tortuganus",8,7,7,7,2
"unifasciatus","unifasciatus",14,7,7,7,2
"ustulatus","ustulatus",8,6,6,6,2
"ventrosus","ventrosus",6,4,4,4,1
"wolfi","wolfi",3,2,2,2,1
